Player,Nation,Pos,Age,Playing Time_MP,Playing Time.1_Starts,Playing Time.2_Min,Playing Time.3_90s,Performance_Gls,Performance.1_Ast,Performance.2_G+A,Performance.3_G-PK,Performance.4_PK,Performance.5_PKatt,Performance.6_CrdY,Performance.7_CrdR,Expected_xG,Expected.1_npxG,Expected.2_xAG,Expected.3_npxG+xAG,Progression_PrgC,Progression.1_PrgP,Progression.2_PrgR,Per 90 Minutes_Gls,Per 90 Minutes.1_Ast,Per 90 Minutes.2_G+A,Per 90 Minutes.3_G-PK,Per 90 Minutes.4_G+A-PK,Per 90 Minutes.5_xG,Per 90 Minutes.6_xAG,Per 90 Minutes.7_xG+xAG,Per 90 Minutes.8_npxG,Per 90 Minutes.9_npxG+xAG,MP,Playing Time_Starts,Playing Time.1_Min,Playing Time.2_90s
Rick Karsdorp,nl NED,DF,25.0,,,,,1.0,6.0,7.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,5.6,6.7,40.0,114.0,187.0,0.03,0.16,0.19,0.03,0.19,0.03,0.16,0.19,0.03,0.19,45.0,36.0,3311.0,36.8
Bryan Cristante,it ITA,"DF,MF",25.0,,,,,2.0,4.0,6.0,2.0,0.0,0.0,11.0,0.0,2.9,2.9,2.2,5.1,29.0,195.0,42.0,0.05,0.11,0.16,0.05,0.16,0.08,0.06,0.15,0.08,0.15,48.0,36.0,3291.0,36.6
Roger Ibanez,br BRA,DF,21.0,,,,,2.0,2.0,4.0,2.0,0.0,0.0,9.0,1.0,1.6,1.6,1.5,3.0,47.0,117.0,9.0,0.06,0.06,0.12,0.06,0.12,0.05,0.05,0.1,0.05,0.1,40.0,36.0,2998.0,33.3
Pau López,es ESP,GK,25.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,33.0,2925.0,32.5
Leonardo Spinazzola,it ITA,DF,27.0,,,,,2.0,7.0,9.0,2.0,0.0,0.0,0.0,0.0,1.9,1.9,6.7,8.5,182.0,131.0,202.0,0.07,0.23,0.29,0.07,0.29,0.07,0.23,0.3,0.07,0.3,39.0,34.0,2755.0,30.6
Gonzalo Villar,es ESP,MF,22.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.6,0.6,1.4,1.9,61.0,181.0,42.0,0.0,0.03,0.03,0.0,0.03,0.02,0.05,0.07,0.02,0.07,47.0,30.0,2717.0,30.2
Jordan Veretout,fr FRA,MF,27.0,,,,,11.0,4.0,15.0,5.0,6.0,6.0,6.0,0.0,9.1,4.4,3.4,7.8,54.0,162.0,69.0,0.39,0.14,0.53,0.18,0.32,0.34,0.13,0.47,0.16,0.29,38.0,31.0,2545.0,28.3
Bruno Peres,br BRA,DF,30.0,,,,,2.0,3.0,5.0,2.0,0.0,0.0,9.0,0.0,2.1,2.1,5.9,8.0,96.0,63.0,186.0,0.07,0.11,0.18,0.07,0.18,0.08,0.22,0.3,0.08,0.3,44.0,24.0,2509.0,27.9
Edin Džeko,ba BIH,FW,34.0,,,,,13.0,4.0,17.0,13.0,0.0,1.0,4.0,0.0,19.0,18.2,3.3,21.5,62.0,70.0,220.0,0.48,0.15,0.63,0.48,0.63,0.72,0.12,0.84,0.69,0.81,38.0,26.0,2419.0,26.9
Pedro,es ESP,"MF,FW",33.0,,,,,6.0,5.0,11.0,6.0,0.0,0.0,5.0,1.0,6.5,6.5,6.6,13.1,64.0,89.0,179.0,0.22,0.19,0.41,0.22,0.41,0.26,0.26,0.53,0.26,0.53,40.0,30.0,2414.0,26.8
Borja Mayoral,es ESP,FW,23.0,,,,,17.0,6.0,23.0,17.0,0.0,0.0,1.0,0.0,12.8,12.8,3.3,16.1,34.0,52.0,162.0,0.66,0.23,0.9,0.66,0.9,0.52,0.13,0.66,0.52,0.66,45.0,26.0,2302.0,25.6
Marash Kumbulla,al ALB,DF,20.0,,,,,2.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,1.5,1.5,0.5,2.0,13.0,59.0,3.0,0.09,0.0,0.09,0.09,0.09,0.07,0.02,0.1,0.07,0.1,28.0,21.0,1978.0,22.0
Amadou Diawara,gn GUI,MF,23.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,0.7,1.7,10.0,71.0,10.0,0.06,0.0,0.06,0.06,0.06,0.06,0.04,0.11,0.06,0.11,28.0,17.0,1499.0,16.7
Carles Pérez,es ESP,"MF,FW",22.0,,,,,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,4.2,4.2,3.3,7.5,54.0,40.0,104.0,0.2,0.13,0.33,0.2,0.33,0.28,0.22,0.51,0.28,0.51,31.0,12.0,1373.0,15.3
Chris Smalling,eng ENG,DF,30.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,0.7,1.2,2.0,29.0,2.0,0.0,0.07,0.07,0.0,0.07,0.04,0.04,0.08,0.04,0.08,21.0,16.0,1360.0,15.1
Antonio Mirante,it ITA,GK,37.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,1306.0,14.5
Federico Fazio,ar ARG,DF,33.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,0.2,0.5,11.0,46.0,8.0,0.11,0.0,0.11,0.11,0.11,0.03,0.02,0.06,0.03,0.06,11.0,9.0,792.0,8.8
Stephan El Shaarawy,it ITA,"MF,FW",27.0,,,,,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,2.5,2.5,1.4,3.8,31.0,22.0,67.0,0.26,0.26,0.52,0.26,0.52,0.32,0.18,0.5,0.32,0.5,14.0,7.0,697.0,7.7
Davide Santon,it ITA,DF,29.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.7,1.0,20.0,20.0,33.0,0.0,0.15,0.15,0.0,0.15,0.05,0.1,0.15,0.05,0.15,11.0,7.0,608.0,6.8
Juan Jesus,br BRA,DF,29.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.5,0.6,10.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1,11.0,4.0,576.0,6.4
Daniel Fuzato,br BRA,GK,23.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,476.0,5.3
Riccardo Calafiori,it ITA,DF,18.0,,,,,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.3,0.3,0.0,0.3,13.0,4.0,18.0,0.21,0.21,0.43,0.21,0.43,0.05,0.0,0.05,0.05,0.05,8.0,4.0,420.0,4.7
Ebrima Darboe,gm GAM,MF,19.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,5.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,6.0,4.0,384.0,4.3
Bryan Reynolds,us USA,DF,19.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,5.0,3.0,283.0,3.1
Tommaso Milanese,it ITA,MF,18.0,,,,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.6,4.0,4.0,4.0,0.96,0.96,1.91,0.96,1.91,0.15,0.48,0.63,0.15,0.63,3.0,1.0,94.0,1.0
Pietro Boer,it ITA,GK,18.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,90.0,1.0
Javier Pastore,ar ARG,"MF,FW",31.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.0,21.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.62,0.0,0.62,5.0,0.0,82.0,0.9
Mory Bamba,ci CIV,DF,18.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,62.0,0.7
Nicola Zalewski,pl POL,MF,18.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,4.0,3.0,0.0,3.46,3.46,0.0,3.46,0.22,0.15,0.38,0.22,0.38,2.0,0.0,26.0,0.3
Justin Kluivert,nl NED,MF,21.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19.0,0.2
Filippo Tripi,it ITA,"MF,DF",18.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,0.2
Edoardo Bove,it ITA,MF,18.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.1
Lamine Tall,sn SEN,FW,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Filippo Berti,it ITA,GK,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Raul Morichelli,it ITA,DF,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Suf Podgoreanu,il ISR,FW,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Riccardo Ciervo,it ITA,FW,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Amir Feratovič,si SVN,MF,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Ruben Providence,fr FRA,FW,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Mirko Antonucci,it ITA,"FW,MF",21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Simone Farelli,it ITA,GK,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Robin Olsen,se SWE,GK,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Emil Audero,it ITA,GK,23.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,38.0,38.0,3420.0,38.0
Tommaso Augello,it ITA,DF,25.0,,,,,1.0,3.0,4.0,1.0,0.0,0.0,2.0,1.0,0.3,0.3,3.9,4.3,105.0,157.0,159.0,0.03,0.08,0.11,0.03,0.11,0.01,0.11,0.12,0.01,0.12,38.0,38.0,3306.0,36.7
Morten Thorsby,no NOR,MF,24.0,,,,,3.0,1.0,4.0,3.0,0.0,0.0,10.0,0.0,2.9,2.9,1.1,4.0,19.0,80.0,55.0,0.1,0.03,0.13,0.1,0.13,0.1,0.04,0.14,0.1,0.14,35.0,30.0,2765.0,30.7
Bartosz Bereszyński,pl POL,DF,28.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.7,0.8,42.0,103.0,81.0,0.03,0.0,0.03,0.03,0.03,0.01,0.02,0.03,0.01,0.03,32.0,30.0,2697.0,30.0
Omar Colley,gm GAM,DF,27.0,,,,,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,1.1,1.1,0.1,1.2,12.0,87.0,0.0,0.07,0.0,0.07,0.07,0.07,0.04,0.0,0.04,0.04,0.04,30.0,29.0,2681.0,29.8
Jakub Jankto,cz CZE,MF,24.0,,,,,6.0,3.0,9.0,6.0,0.0,0.0,7.0,0.0,4.6,4.6,3.5,8.1,52.0,88.0,158.0,0.21,0.11,0.32,0.21,0.32,0.17,0.13,0.3,0.17,0.3,37.0,30.0,2514.0,27.9
Antonio Candreva,it ITA,MF,33.0,,,,,5.0,8.0,13.0,3.0,2.0,2.0,1.0,0.0,4.9,3.4,5.9,9.2,122.0,196.0,180.0,0.18,0.29,0.47,0.11,0.39,0.18,0.21,0.39,0.12,0.33,36.0,28.0,2509.0,27.9
Maya Yoshida,jp JPN,DF,31.0,,,,,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,1.8,1.8,0.8,2.6,6.0,55.0,3.0,0.04,0.08,0.11,0.04,0.11,0.07,0.03,0.1,0.07,0.1,34.0,26.0,2365.0,26.3
Albin Ekdal,se SWE,MF,31.0,,,,,2.0,1.0,3.0,2.0,0.0,0.0,9.0,0.0,0.9,0.9,0.9,1.8,22.0,95.0,18.0,0.08,0.04,0.12,0.08,0.12,0.04,0.04,0.07,0.04,0.07,33.0,26.0,2312.0,25.7
Fabio Quagliarella,it ITA,FW,37.0,,,,,13.0,1.0,14.0,11.0,2.0,3.0,1.0,0.0,11.8,9.4,1.4,10.9,20.0,46.0,157.0,0.53,0.04,0.57,0.45,0.49,0.48,0.06,0.54,0.38,0.44,33.0,25.0,2204.0,24.5
Lorenzo Tonelli,it ITA,DF,30.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,11.0,0.0,2.0,2.0,0.0,2.0,2.0,42.0,1.0,0.05,0.0,0.05,0.05,0.05,0.1,0.0,0.1,0.1,0.1,24.0,22.0,1868.0,20.8
Mikkel Damsgaard,dk DEN,"MF,FW",20.0,,,,,2.0,4.0,6.0,2.0,0.0,0.0,3.0,0.0,2.9,2.9,2.4,5.3,45.0,80.0,131.0,0.1,0.2,0.3,0.1,0.3,0.15,0.12,0.27,0.15,0.27,37.0,18.0,1818.0,20.2
Adrien Silva,pt POR,MF,31.0,,,,,1.0,1.0,2.0,1.0,0.0,0.0,10.0,1.0,0.5,0.5,0.8,1.2,8.0,94.0,19.0,0.05,0.05,0.1,0.05,0.1,0.03,0.04,0.07,0.03,0.07,26.0,20.0,1739.0,19.3
Keita Baldé,sn SEN,FW,25.0,,,,,7.0,1.0,8.0,7.0,0.0,0.0,4.0,1.0,5.7,5.7,2.4,8.1,40.0,26.0,110.0,0.5,0.07,0.57,0.5,0.57,0.42,0.18,0.61,0.42,0.61,26.0,13.0,1260.0,14.0
Valerio Verre,it ITA,"FW,MF",26.0,,,,,4.0,3.0,7.0,4.0,0.0,0.0,3.0,0.0,1.9,1.9,1.6,3.6,32.0,70.0,82.0,0.31,0.23,0.53,0.31,0.53,0.17,0.15,0.32,0.17,0.32,29.0,14.0,1178.0,13.1
Alex Ferrari,it ITA,DF,26.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,32.0,8.0,0.0,0.09,0.09,0.0,0.09,0.0,0.11,0.11,0.0,0.11,13.0,12.0,970.0,10.8
Gastón Ramírez,uy URU,"FW,MF",29.0,,,,,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,2.2,3.1,16.0,58.0,56.0,0.0,0.37,0.37,0.0,0.37,0.08,0.21,0.29,0.08,0.29,25.0,10.0,969.0,10.8
Manolo Gabbiadini,it ITA,FW,28.0,,,,,3.0,2.0,5.0,2.0,1.0,1.0,1.0,0.0,2.8,2.0,1.8,3.9,11.0,27.0,38.0,0.31,0.21,0.51,0.21,0.41,0.29,0.19,0.48,0.21,0.4,17.0,10.0,875.0,9.7
Mehdi Léris,dz ALG,"DF,MF",22.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.5,17.0,19.0,36.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1,22.0,5.0,533.0,5.9
Antonino La Gumina,it ITA,FW,24.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,5.0,3.0,28.0,0.17,0.0,0.17,0.17,0.17,0.18,0.01,0.19,0.18,0.19,11.0,6.0,516.0,5.7
Kristoffer Askildsen,no NOR,MF,19.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,7.0,1.0,185.0,2.1
Karlo Letica,hr CRO,GK,23.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,180.0,2.0
Vasco Regini,it ITA,DF,29.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,4.0,2.0,178.0,2.0
Ernesto Torregrossa,ve VEN,FW,28.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,3.0,3.0,14.0,0.53,0.0,0.53,0.53,0.53,0.21,0.12,0.33,0.21,0.33,6.0,1.0,170.0,1.9
Federico Bonazzoli,it ITA,FW,23.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.8,5.0,3.0,7.0,0.0,0.69,0.69,0.0,0.69,0.14,0.37,0.52,0.14,0.52,2.0,2.0,131.0,1.5
Kaique Rocha,br BRA,DF,19.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,89.0,1.0
Fabio Depaoli,it ITA,MF,23.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.12,0.07,0.19,0.12,0.19,2.0,1.0,77.0,0.9
Antonio Palumbo,it ITA,MF,23.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.46,0.46,0.46,1.0,0.0,7.0,0.1
Nik Prelec,si SVN,FW,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Ronaldo Vieira,eng ENG,MF,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Julian Chabot,de GER,DF,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Leonardo Capezzi,it ITA,MF,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Lorenzo Avogadri,it ITA,GK,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Nicola Ravaglia,it ITA,GK,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Andrea Consigli,it ITA,GK,33.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,3330.0,37.0
Gian Marco Ferrari,it ITA,DF,28.0,,,,,0.0,4.0,4.0,0.0,0.0,0.0,7.0,0.0,2.0,2.0,1.2,3.2,38.0,187.0,18.0,0.0,0.12,0.12,0.0,0.12,0.06,0.04,0.1,0.06,0.1,34.0,33.0,3014.0,33.5
Manuel Locatelli,it ITA,MF,22.0,,,,,4.0,2.0,6.0,2.0,2.0,2.0,9.0,0.0,3.7,2.1,2.8,4.9,48.0,315.0,77.0,0.12,0.06,0.19,0.06,0.12,0.11,0.09,0.2,0.07,0.15,34.0,32.0,2883.0,32.0
Domenico Berardi,it ITA,FW,25.0,,,,,17.0,7.0,24.0,10.0,7.0,8.0,4.0,0.0,15.0,8.7,6.2,14.9,101.0,164.0,272.0,0.62,0.25,0.87,0.36,0.62,0.55,0.23,0.77,0.32,0.54,30.0,28.0,2475.0,27.5
Filip Đuričić,rs SRB,"MF,FW",28.0,,,,,5.0,4.0,9.0,4.0,1.0,1.0,5.0,1.0,6.2,5.4,5.8,11.2,87.0,96.0,163.0,0.21,0.17,0.38,0.17,0.34,0.27,0.25,0.52,0.23,0.48,33.0,28.0,2125.0,23.6
Rogério,br BRA,DF,22.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,1.5,2.0,59.0,81.0,135.0,0.0,0.05,0.05,0.0,0.05,0.03,0.07,0.1,0.03,0.1,29.0,22.0,1961.0,21.8
Maxime Lopez,fr FRA,MF,22.0,,,,,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,1.2,1.2,1.4,2.6,45.0,150.0,42.0,0.09,0.0,0.09,0.09,0.09,0.06,0.07,0.13,0.06,0.13,30.0,23.0,1931.0,21.5
Vlad Chiricheș,ro ROU,DF,30.0,,,,,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,1.3,1.3,0.4,1.7,10.0,67.0,9.0,0.1,0.05,0.15,0.1,0.15,0.06,0.02,0.08,0.06,0.08,24.0,22.0,1837.0,20.4
Marlon,br BRA,DF,24.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.3,0.3,0.1,0.3,12.0,79.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.02,25.0,20.0,1832.0,20.4
Jeremie Boga,ci CIV,"FW,MF",23.0,,,,,4.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,3.6,3.6,0.9,4.5,78.0,43.0,169.0,0.2,0.1,0.3,0.2,0.3,0.18,0.05,0.23,0.18,0.23,28.0,21.0,1830.0,20.3
Hamed Junior Traorè,ci CIV,"MF,FW",20.0,,,,,5.0,2.0,7.0,5.0,0.0,0.0,6.0,0.0,4.1,4.1,3.5,7.5,45.0,79.0,120.0,0.25,0.1,0.35,0.25,0.35,0.2,0.17,0.38,0.2,0.38,35.0,20.0,1789.0,19.9
Mert Müldür,tr TUR,DF,21.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,0.6,1.4,49.0,81.0,123.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,29.0,19.0,1762.0,19.6
Francesco Caputo,it ITA,FW,32.0,,,,,11.0,5.0,16.0,8.0,3.0,3.0,1.0,0.0,9.9,7.6,2.1,9.7,12.0,29.0,128.0,0.58,0.27,0.85,0.42,0.69,0.53,0.11,0.64,0.4,0.51,25.0,19.0,1697.0,18.9
Pedro Obiang,gq EQG,MF,28.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.7,0.7,1.0,1.7,10.0,56.0,16.0,0.0,0.06,0.06,0.0,0.06,0.04,0.06,0.1,0.04,0.1,34.0,17.0,1559.0,17.3
Jeremy Toljan,de GER,DF,25.0,,,,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.8,1.0,32.0,67.0,87.0,0.0,0.12,0.12,0.0,0.12,0.01,0.05,0.06,0.01,0.06,26.0,18.0,1490.0,16.6
Giorgos Kyriakopoulos,gr GRE,DF,24.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.6,1.6,0.9,2.5,58.0,59.0,116.0,0.06,0.0,0.06,0.06,0.06,0.1,0.06,0.16,0.1,0.16,24.0,16.0,1462.0,16.2
Grégoire Defrel,mq MTQ,"MF,FW",29.0,,,,,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,2.1,2.1,1.0,3.2,23.0,51.0,82.0,0.2,0.2,0.4,0.2,0.4,0.14,0.07,0.21,0.14,0.21,28.0,14.0,1336.0,14.8
Giacomo Raspadori,it ITA,"FW,MF",20.0,,,,,6.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,4.3,4.3,2.1,6.4,21.0,33.0,99.0,0.41,0.0,0.41,0.41,0.41,0.31,0.16,0.47,0.31,0.47,28.0,14.0,1322.0,14.7
Kaan Ayhan,tr TUR,DF,25.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.0,0.5,19.0,41.0,13.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,20.0,7.0,819.0,9.1
Mehdi Bourabia,ma MAR,MF,28.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,0.1,0.6,5.0,13.0,5.0,0.17,0.0,0.17,0.17,0.17,0.09,0.02,0.1,0.09,0.1,15.0,4.0,528.0,5.9
Francesco Magnanelli,it ITA,MF,35.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,2.0,33.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,10.0,7.0,440.0,4.9
Lukáš Haraslín,sk SVK,"FW,MF",24.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7,0.7,0.7,1.4,11.0,13.0,47.0,0.0,0.0,0.0,0.0,0.0,0.18,0.19,0.37,0.18,0.37,15.0,2.0,356.0,4.0
Federico Peluso,it ITA,DF,36.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,297.0,3.3
Gianluca Pegolo,it ITA,GK,39.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,180.0,2.0
Brian Oddei,it ITA,"FW,MF",17.0,,,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.9,1.0,3.0,1.0,5.0,0.0,1.61,1.61,0.0,1.61,0.19,1.83,2.02,0.19,2.02,6.0,1.0,112.0,1.2
Nicolás Schiappacasse,uy URU,MF,21.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,60.0,0.7
Federico Ricci,it ITA,FW,26.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
Isaac Karamoko,fr FRA,DF,18.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
