Player,Nation,Pos,Age,Playing Time_MP,Playing Time.1_Starts,Playing Time.2_Min,Playing Time.3_90s,Performance_Gls,Performance.1_Ast,Performance.2_G+A,Performance.3_G-PK,Performance.4_PK,Performance.5_PKatt,Performance.6_CrdY,Performance.7_CrdR,Expected_xG,Expected.1_npxG,Expected.2_xAG,Expected.3_npxG+xAG,Progression_PrgC,Progression.1_PrgP,Progression.2_PrgR,Per 90 Minutes_Gls,Per 90 Minutes.1_Ast,Per 90 Minutes.2_G+A,Per 90 Minutes.3_G-PK,Per 90 Minutes.4_G+A-PK,Per 90 Minutes.5_xG,Per 90 Minutes.6_xAG,Per 90 Minutes.7_xG+xAG,Per 90 Minutes.8_npxG,Per 90 Minutes.9_npxG+xAG,MP,Playing Time_Starts,Playing Time.1_Min,Playing Time.2_90s
Riccardo Orsolini,it ITA,"FW,MF",21.0,,,,,10.0,6.0,16.0,10.0,0.0,0.0,2.0,0.0,5.1,5.1,2.8,7.9,52.0,68.0,152.0,0.44,0.26,0.7,0.44,0.7,0.23,0.13,0.36,0.23,0.36,37.0,20.0,2053.0,22.8
Filip Helander,se SWE,DF,25.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.7,0.7,0.2,0.9,10.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,23.0,22.0,1983.0,22.0
Blerim Džemaili,ch SUI,MF,32.0,,,,,2.0,1.0,3.0,1.0,1.0,1.0,4.0,0.0,1.8,1.8,1.3,3.2,55.0,105.0,69.0,0.1,0.05,0.15,0.05,0.1,0.09,0.07,0.16,0.09,0.16,30.0,21.0,1862.0,20.7
Arturo Calabresi,it ITA,DF,22.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.4,0.4,0.4,0.8,13.0,63.0,11.0,0.05,0.0,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05,21.0,19.0,1682.0,18.7
Roberto Soriano,it ITA,MF,27.0,,,,,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,3.4,3.4,1.9,5.3,44.0,78.0,93.0,0.11,0.11,0.23,0.11,0.23,0.2,0.11,0.32,0.2,0.32,18.0,18.0,1579.0,17.5
Federico Mattiello,it ITA,"DF,FW",23.0,,,,,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.6,0.6,1.5,2.1,50.0,57.0,75.0,0.06,0.06,0.12,0.06,0.12,0.04,0.1,0.14,0.04,0.14,19.0,18.0,1492.0,16.6
Mattias Svanberg,se SWE,MF,19.0,,,,,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,1.2,1.2,1.4,2.6,9.0,30.0,35.0,0.0,0.22,0.22,0.0,0.22,0.09,0.1,0.2,0.09,0.2,24.0,14.0,1237.0,13.7
Nicola Sansone,it ITA,FW,26.0,,,,,2.0,4.0,6.0,2.0,0.0,0.0,4.0,1.0,1.7,1.7,2.3,4.1,40.0,35.0,108.0,0.15,0.29,0.44,0.15,0.44,0.14,0.18,0.32,0.14,0.32,16.0,14.0,1229.0,13.7
Lyanco,br BRA,DF,21.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.4,0.4,0.3,0.7,11.0,39.0,1.0,0.08,0.0,0.08,0.08,0.08,0.04,0.02,0.06,0.04,0.06,13.0,13.0,1119.0,12.4
Ádám Nagy,hu HUN,MF,23.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.5,0.7,10.0,53.0,11.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.06,0.02,0.06,16.0,11.0,1078.0,12.0
Ladislav Krejčí,cz CZE,"DF,MF",26.0,,,,,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,2.3,2.7,34.0,50.0,62.0,0.0,0.25,0.25,0.0,0.25,0.04,0.19,0.23,0.04,0.23,18.0,11.0,1065.0,11.8
Giancarlo González,cr CRC,DF,30.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.7,0.9,6.0,25.0,2.0,0.0,0.1,0.1,0.0,0.1,0.02,0.08,0.11,0.02,0.11,14.0,10.0,926.0,10.3
Diego Falcinelli,it ITA,FW,27.0,,,,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.3,1.3,0.5,1.9,8.0,11.0,55.0,0.1,0.1,0.21,0.1,0.21,0.17,0.07,0.24,0.17,0.24,18.0,10.0,867.0,9.6
Mattia Destro,it ITA,FW,27.0,,,,,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,2.4,2.4,0.6,3.0,5.0,5.0,27.0,0.63,0.16,0.79,0.63,0.79,0.43,0.12,0.55,0.43,0.55,18.0,6.0,569.0,6.3
Sebastien De Maio,fr FRA,DF,31.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.3,10.0,17.0,1.0,0.0,0.18,0.18,0.0,0.18,0.05,0.01,0.05,0.05,0.05,6.0,6.0,491.0,5.5
Orji Okwonkwo,ng NGA,FW,20.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.1,0.5,9.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.14,0.03,0.18,0.14,0.18,9.0,2.0,273.0,3.0
Simone Edera,it ITA,FW,21.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.2,0.9,5.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.32,0.09,0.41,0.32,0.41,4.0,3.0,196.0,2.2
Godfred Donsah,gh GHA,MF,22.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,4.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,7.0,1.0,182.0,2.0
Angelo da Costa Júnior,br BRA,GK,34.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,2.0,2.0,180.0,2.0
Nehuén Paz,ar ARG,DF,25.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,114.0,1.3
Juan Manuel Valencia,co COL,FW,20.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,1.0,0.0,28.0,0.3
Gabriele Corbo,it ITA,DF,18.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.1
Antonio Santurro,do DOM,GK,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Caio Vinicius Pirana,br BRA,GK,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Kingsley Michael,ng NGA,MF,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Alessio Cragno,it ITA,GK,24.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,3600.0,40.0
Nicolò Barella,it ITA,MF,21.0,,,,,1.0,3.0,4.0,1.0,0.0,1.0,10.0,2.0,2.6,1.8,3.1,4.9,112.0,206.0,139.0,0.03,0.08,0.11,0.03,0.11,0.07,0.09,0.17,0.05,0.14,38.0,38.0,3377.0,37.5
Artur Ioniță,md MDA,MF,27.0,,,,,3.0,2.0,5.0,3.0,0.0,0.0,4.0,1.0,3.7,3.7,1.3,5.0,42.0,67.0,80.0,0.09,0.06,0.14,0.09,0.14,0.11,0.04,0.15,0.11,0.15,39.0,36.0,3133.0,34.8
Leonardo Pavoletti,it ITA,FW,29.0,,,,,18.0,1.0,19.0,18.0,0.0,0.0,6.0,0.0,11.3,11.3,1.6,12.9,5.0,40.0,191.0,0.56,0.03,0.59,0.56,0.59,0.37,0.05,0.42,0.37,0.42,34.0,33.0,2885.0,32.1
João Pedro,it ITA,"FW,MF",26.0,,,,,7.0,2.0,9.0,5.0,2.0,2.0,5.0,1.0,8.5,6.9,3.5,10.4,32.0,51.0,216.0,0.24,0.07,0.3,0.17,0.24,0.3,0.12,0.42,0.24,0.37,36.0,31.0,2670.0,29.7
Fabio Pisacane,it ITA,DF,32.0,,,,,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,0.8,0.8,1.2,2.0,5.0,44.0,4.0,0.08,0.04,0.11,0.08,0.11,0.03,0.05,0.08,0.03,0.08,28.0,25.0,2351.0,26.1
Luca Ceppitelli,it ITA,DF,28.0,,,,,1.0,1.0,2.0,1.0,0.0,0.0,6.0,2.0,2.4,2.4,0.9,3.3,10.0,69.0,1.0,0.04,0.04,0.08,0.04,0.08,0.11,0.04,0.15,0.11,0.15,26.0,26.0,2231.0,24.8
Darijo Srna,hr CRO,DF,36.0,,,,,0.0,3.0,3.0,0.0,0.0,0.0,5.0,1.0,0.5,0.5,4.0,4.5,44.0,130.0,85.0,0.0,0.12,0.12,0.0,0.12,0.02,0.17,0.19,0.02,0.19,28.0,25.0,2182.0,24.2
